2025-07-03T09:04:21.693344,test2,4,6,4,14,2025-07-03,09:04:21
2025-07-03T09:01:59.031123,test1,1,3,3,7,2025-07-03,09:01:59
2025-07-03T09:00:19.787621,Long_heo,2,1,4,7,2025-07-03,09:00:19
2025-07-03T08:58:32.192366,test_user,3,4,5,12,2025-07-03,08:58:32
2025-07-03T08:56:51.273588,test_user,3,4,5,12,2025-07-03,08:56:51
2025-07-03T08:55:14.558233,test_user,3,4,5,12,2025-07-03,08:55:14
2025-07-03T08:50:02.576177,Long,1,3,1,5,2025-07-03,08:50:02
2025-07-03T07:45:20.505561,testuser_1751528720,1,4,1,6,2025-07-03,07:45:20
2025-07-03T07:42:53.626364,testplayer,2,5,6,13,2025-07-03,07:42:53
2025-07-03T07:38:50.836724,alice,5,1,5,11,2025-07-03,07:38:50
2025-07-03T07:38:04.519842,alice,5,5,6,16,2025-07-03,07:38:04
